rank,country,industrial_production_growth_rate,date_of_information
180,Colombia,-1.95,2023 est.
181,Austria,-1.99,2023 est.
182,Netherlands,-2.02,2023 est.
183,Honduras,-2.04,2023 est.
184,Lithuania,-2.17,2023 est.
185,Thailand,-2.27,2023 est.
186,Saint Kitts and Nevis,-2.4,2023 est.
187,New Zealand,-2.56,2022 est.
188,Sweden,-2.68,2023 est.
189,Finland,-2.72,2023 est.
190,Bosnia and Herzegovina,-2.8,2023 est.
191,Singapore,-2.89,2023 est.
192,Monaco,-3.16,2014 est.
193,Pakistan,-3.76,2023 est.
194,Haiti,-3.82,2023 est.
195,Uruguay,-3.83,2023 est.
196,Grenada,-4.07,2023 est.
197,Belize,-4.52,2023 est.
198,Hungary,-5.16,2023 est.
199,Macau,-5.63,2022 est.
200,Afghanistan,-5.73,2022 est.
201,Venezuela,-5.84,2014 est.
202,Iraq,-6.34,2023 est.
203,Cuba,-6.73,2022 est.
204,Angola,-7.18,2023 est.
205,West Bank,-8.57,2023 est.
206,Gaza Strip,-8.57,2023 est.
207,Sri Lanka,-9.23,2023 est.
208,Estonia,-9.7,2023 est.
209,Central African Republic,-10.28,2023 est.
210,Greenland,-10.63,2021 est.
211,Ireland,-10.79,2023 est.
212,Sudan,-11.6,2023 est.
213,Moldova,-11.74,2023 est.
214,Equatorial Guinea,-11.87,2023 est.
215,Syria,-14.03,2021 est.
216,Palau,-19.56,2022 est.
217,Montserrat,-21,2017 est.
218,Madagascar,-33.28,2023 est.
219,South Sudan,-36.78,2015 est.
220,Timor-Leste,-46.25,2022 est.
